Disease	Genes count	Genes percentage	Fold change	P-value	FDR	Gene symbols	Entrez Gene IDs	PMIDs
Osteochondrodysplasias	3	0.0142857142857143	2.97881773399015	7.954e-02	4.69286	COL11A2|FLNB|CHST3	1302|2317|9469	7859284,10677296,15558753,18381781,21204229,22246659|7485161,15994868,16752402,22190451,23401428|15215498,18513679,19320654,26572954,27753269
Spastic Paraplegia, Hereditary	2	0.00952380952380952	2.50393374741201	1.900e-01	5.605	KIF1A|ZFYVE26	547|23503	16434418,21487076,22258533,25585697,26410750,27034427|11342696,17661097,18332254,18394578,19805727,19917823,20613862,21545838,23825025,24030950,26492578
Malaria, Falciparum	2	0.00952380952380952	1.59973544973545	3.565e-01	7.01116666666667	CD36|CR1	948|1378	11377606,12496189,12971464,15478802,16002039,18671254,19055786,19136129,19413744,19864601,20459687,21390226,21949655,22050542,22909232,24009511,26385579|9230440,12486610,14694201,16277654,19480840,20459687,20889874,21251929,21593778,21727667,21985366,23152904
Anemia, Sickle Cell	2	0.00952380952380952	1.251966873706	4.767e-01	7.031325	HBA2|BCAM	3040|4059	909779,9886305,12673836,24100324,25042611,25065854|14755370,18514010,20562314,20566895,20655789,22941965,24616094,26137540
AIDS Dementia Complex	2	0.00952380952380952	1.10750915750916	5.420e-01	6.3956	CD4|MAPK1	920|5594	7874384,10393974,10430052,10482576,10582593,11312658,11517385,12402167,15194768,15890908,15936090,16309726,16979207,17084877,19103208,21165790,22124968|9403476,11532249,12491158,12775419,17897354,18092356,18569454,19287189,19455469,20839920,21172429,25164676
Adenocarcinoma, Mucinous	2	0.00952380952380952	1.03766623766624	5.775e-01	5.67875	MUC2|MUC16	4583|94025	12490305,12527922,16142311,16733847,18299935,18487999,20198318,20485009,21441843,22269464,24280573,24324582,24714692,25298197|19937162,20009886,20598042,21344262,21836488,23343214,23669443,24083699,24551091,25667483,25978292,27221870
Retinitis Pigmentosa	2	0.00952380952380952	0.951908697363243	6.245e-01	5.26364285714286	IMPDH1|RPGR	3614|6103	7635473,7814030,8513324,11875049,11875050,15465556,15851576,16038673,16214101,16272056,16384941,18552984,21791244,22183375,23534816,24940031|2300556,7611300,8673101,8817343,9326322,9399904,9418727,9677393,9855162,9990021,10094550,10401007,10480356,10482958,10725384,10737996,10932196,10937588,10970770,10980543,11104772,11180598,11702207,11754050,11857109,11992260,12140192,12657579,14516808,14564670,14566651,15364249,16043481,16052169,16086276,16273303,16387007,16917484,16935610,16936086,16969763,17093403,17195164,17249551,17325176,17405150,17480003,17724181,17893654,17898302,17923551,18332319,19218993,19430481,19834030,20021257,20238008,20574030,20591486,20631154,20664800,20806050,21174525,21227725,21683121,21857984,21866333,21914266,22577079,22888088,23150612,23372056,23681342,24428633,24454928,24555744,24664734,25301933,25352739,25556114,25569437,26431479,27323122,27911705,28172980,28814713
Macular Degeneration	2	0.00952380952380952	0.762787764112267	7.415e-01	5.4685625	C3|HMCN1	718|83872	16452172,17634448,17767156,18325906,18596911,18936151,19015224,19048105,19117936,19168221,19202148,19234341,19255449,19259132,19399715,19661236,19797206,19823576,19825847,19850835,19899988,20157618,20238042,20381870,20385819,20385826,20576771,20664795,20861866,20888482,21402993,21555552,21665990,21816153,22174912,22273503,22705344,22930722,23209669,23233260,23337555,23365660,23455636,23661701,24453474,24519512,24557084,25388911,25802332,26505407,28095095|9715689,14570714,15370542,15467524,16885922,17057786,17157600,17216616,17591627,25986072
Proteinuria	2	0.00952380952380952	0.724408505540581	7.669e-01	5.02745555555556	C3|CUBN	718|8029	18253759,21566112,22673887,23134230,23533145,23892798|10552972,12687456,21082674,21750092,21903995,22574174,22929189,23533145
Acquired Immunodeficiency Syndrome	2	0.00952380952380952	0.715409642117717	7.729e-01	4.56011	CD4|CDK9	920|1025	1348943,1373203,1374095,1381201,1402655,1489581,1551875,1674549,1702842,1709701,1721822,1724568,1736938,1910691,1970124,2062847,2068099,2082620,2190605,2436231,2437327,2438696,2441727,2462895,2468713,2523711,2541915,2571187,2830667,2833917,2986290,2986291,2990682,3001934,3006256,3016552,3018753,3027168,3037522,3038935,3304356,3484980,3495568,3497054,3500514,3652531,3682024,6096719,7506554,7506556,7692037,7769687,7867080,8331733,8356059,8421893,8437228,8437234,8474162,8497074,8516299,8615032,8674119,8674120,8798972,8798974,8827218,8878430,8995603,9604776,10364484,10774549,12091904,12120995,12163558,12634405,15033690,15481145,15956589,15975620,16182193,16728975,16979207,17034868,17042973,17077296,17436226,17721546,18672260,18786994,18808677,19000821,19018669,19301975,19917496,20012528,20698725,22103836,22640559,23218949,23878231,24465014,24748005|10536359,14984439,20012528,21951552,25731772
Fatty Liver	2	0.00952380952380952	0.698066378066378	7.845e-01	4.20777272727273	APOB|CD36	338|948	14967820,15790761,17158591,18848826,20150556,21502677,22443280,23723369,24173238|20408954,21250778,21270117,24134687,25197426,27034954
Metabolic Syndrome	3	0.0142857142857143	0.62825974025974	8.604e-01	4.2303	APOB|C3|CD36	338|718|948	17299378,17647275,18388068,19020660,19056482,19450572,19642912,19713673,20213498,20368199,20539018,20816677,21122859,21138461,21801720,21958700,21960651,22211563,22399527,22471842,22674204,23973688,24265415,25025299,26868509,27055959|15090635,18805911,19828715,19913840,20926148,22138144,25746915,25813686,26503818,27029598|16219805,18305138,20139232,20223461,21250778,22047506,22588808,23249574,27144937
Polycystic Ovary Syndrome	2	0.00952380952380952	0.553754578754579	8.799e-01	3.99339230769231	AR|FBN3	367|84467	11788641,11804942,15950642,16793958,17334586,18191848,18192296,18303071,18483883,18555222,18697861,19172534,20190557,20450840,20691435,20734064,20865044,21050150,22068615,22107839,22344533,22695532,22724574,23182796,23599814,23628801,24116069,24336678,24986529,25148265,25825716,26511871,27163385|17785364,19692420,20200332,20630504,20855553,21411746,22301903,23265956
Insulin Resistance	4	0.019047619047619	0.478922878922879	9.701e-01	4.08827857142857	APOB|C3|CD36|NUCB2	338|718|948|4925	12529498,14967820,16614317,17349073,17463246,17601988,17647275,18684539,18848826,19450572,20213498,20466372,20855565,21801720,22407494,22471842,22827961,24842304,25562991,25818853,25911082,26350813,28183448,28391908|16809564,20105190,20173020,20706769,21966368,22138144,23056509,24005838,24428680,25746915,25813686,28188738|11686358,11718687,11834946,15132977,15221799,15671915,16219805,16911630,16952981,18000176,18441389,19667111,20139232,20966915,21250778,21270117,21727988,22869067,22890011,27144937,27916988|21252251,22367584,23346951,23765387,24333832,24825087,24857385,24920281,27539099
Endometrial Neoplasms	3	0.0142857142857143	0.421393728222997	9.756e-01	3.83736	AR|PPP2R1A|MUC16	367|5518|94025	11074602,11571732,12115497,12161010,12767946,15721279,16161040,16187285,18212060,19190146,20053928,20381444,23962788,24512546,26397136,26556855,27384477|21381030,21882256,23267135,27348297,27485451|19337252,19589273,19937162,21344262,22727919,23669443,24083699,24403483,24659664,26531723,26918940,26925634,27163153,27173475,27221870,27268637,29463191
Carcinoma, Pancreatic Ductal	2	0.00952380952380952	0.345888745888746	9.810e-01	3.6174375	ELAVL1|MAPK1	1994|5594	24536047,24618665,26314962,26675757,27415424,28242812,28687616|15300592,18026817,22158075,23555182,28315433
Genomic Instability	2	0.00952380952380952	0.327218614718615	9.858e-01	3.42130588235294	FANCD2|POLK	2177|51426	18263878,19729998,20519958,20676667,22987153,24658369,25070891,26083937,26323318,26584049,26625197,26765540,27264184,27322732,27768874,27977684,29021208|15989980,22157819,23799366,24553286,28605669
Lupus Erythematosus, Systemic	3	0.0142857142857143	0.347628628916355	9.929e-01	3.25450555555556	C3|CR1|IRAK1	718|1378|3654	11813855,16893076,18174230,18383369,19387462,21706294,21813769,22264230,22851413,22878256,23031360,23981509,25597615,27900491|2959289,2989379,3156931,4019777,6115248,6230413,6978375,15163541,15176657,15529364,15864913,16133175,16289666,17467802,18182380,18709693,21659422,26273660,27981054|18050247,19329491,19838195,21160042,22011580,22904263,23428850,23435933
Leukemia, Myeloid, Acute	3	0.0142857142857143	0.334828349944629	9.946e-01	3.08849473684211	DAPK1|TRIB2|TET1	1612|28951|80312	14504087,20655775,21176336,21918973,22096027|17097562,20005259,20410507,23550039,24516045,26996668|12124344,19420352,23818607,26703470,26791235
Arthritis, Rheumatoid	5	0.0238095238095238	0.390179377984256	9.967e-01	2.940265	AIF1|IRAK1|IREB2|TAP2|FSTL1	199|3654|3658|6891|11167	18721278,18835879,22106834,24018427,25026748,26585362|20448286,20870441,21160042,22451023,23233309,24390342,28207326,28271077|11282995,15722257,17289546,17643931,17785286,18587224|8162639,11229461,12047361,14749980,18309376,19116923,24972609|9786430,15638044,19109154,21303509,27498552
